CREDITCARDKEY,CREDITCARDID,CARDTYPE,CARDNUMBER,EXPMONTH,EXPYEAR,MONTHEXPIRATION,CARDSTATUS,EXPIRING3MONTHS,CREDITMODIFIEDDATE,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
482,438,Distinguish,55557080374180,12,2005,-236,Expired,Expired,2014-03-15 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,bc59ad758db7a3f16f868185f749d348564a6e7a49fc4c30caf430d8b8991d9b
483,439,Vista,11114647899275,2,2006,-234,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,31ccedda2dc69a2409d1fe88971c75ea963746d5c135bca85a5883c302f54865
484,440,ColonialVoice,77779666377448,2,2007,-222,Expired,Expired,2013-08-06 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,5591493b477dfb2dfbbe32ebd7ae8529cc3fddea2a0592734691179cafaaeb17
485,441,SuperiorCard,33333816093380,9,2006,-227,Expired,Expired,2012-11-14 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,c6d69e9b0a203779fbde4f29a938e4d6411c65946ac287e3d292b00f4e8a51f4
486,442,Vista,11112618684802,7,2005,-241,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,1df2211da343bce9701075d3b3cfb42ffb37540408910e5e68f413158a53f26d
487,443,ColonialVoice,77771350508466,4,2007,-220,Expired,Expired,2013-06-15 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,bcc72cf1ab76f53bb65ab71cf7192cb3a91ede77c4f0bf5193c4dac9ee1ba4a7
488,444,Distinguish,55551030969773,3,2007,-221,Expired,Expired,2014-06-12 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,dbfd603c62ab2f08de5bcd391cb7e9c36365bda4ee172d894b640cf20bdabad5
489,445,SuperiorCard,33338753811862,2,2005,-246,Expired,Expired,2012-11-30 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,c0cb35e9739006d914644f029a64fa614d360949eeeddd240abc2cd5f611d56d
490,446,Vista,11112035204232,8,2007,-216,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,1f5f8e69cce4d197322897f78785baee2cbcc89109e3ba8254194e9cf0f6ccc0
491,447,SuperiorCard,33336102961463,8,2007,-216,Expired,Expired,2014-01-30 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,6fa6e16cd958f6371d2ec8078f028ed07d605994d65220643e901b3ce69b20a1
492,448,Vista,11115686139754,12,2007,-212,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,4fc617120a543c9b5783a327ea0622aa989caf1748f62d51300d60cc8c4545d1
493,449,SuperiorCard,33335078009393,9,2006,-227,Expired,Expired,2014-02-20 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,b34cf7c41bf7301259364b7df7b3e303f47bb3e14468463350529b3f636631d8
494,450,SuperiorCard,33332611348318,1,2006,-235,Expired,Expired,2013-08-20 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,5fdb776a1790b29b23971130357ce56d29d3b95336114986676e2de1fcec685b
495,451,SuperiorCard,33334686765658,6,2005,-242,Expired,Expired,2012-06-30 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,e660224cbaaf133738165bcfe6c00d70d53f93f6e6985bb7c12719d33a4b2f4a
496,452,ColonialVoice,77775083078731,8,2006,-228,Expired,Expired,2013-07-01 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,913162359f227e0eaf4575f87871ca297ee9b0934d4801db5fd96b19bb78f0cd
497,453,SuperiorCard,33338203979446,8,2007,-216,Expired,Expired,2012-03-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,1ab408544035e9d39e45be858adb8e4e69f27d153cd8868be7c87799e8486e01
498,454,Distinguish,55555043237607,12,2007,-212,Expired,Expired,2013-10-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,4d7446b262596cf8cfdb4b370e8fae5f49334c52ca2b8dd674355f4660b61080
499,455,SuperiorCard,33332183266192,3,2006,-233,Expired,Expired,2013-11-11 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,2d11c371557b18476f0b0e953b7e8fc39a416391d9467e984b6d9316f30d1472
500,456,Distinguish,55557142435353,6,2006,-230,Expired,Expired,2013-10-18 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,b7e1143ae8424a10c5cd573e05ab267a08880791e748e94f4d5fc482379baf4a
501,457,ColonialVoice,77777548924657,5,2005,-243,Expired,Expired,2013-08-04 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,6644907b8e9d64e5f984ce2f77ae67fc98635a90fd37f5532a4c0cefee1b8049
502,458,Distinguish,55553370468042,8,2005,-240,Expired,Expired,2014-02-09 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,687c15ea75e8af281d14a0b7b6ab088de56e04fd9a160738274ca8945e530806
503,459,Distinguish,55551901555401,9,2007,-215,Expired,Expired,2014-03-25 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,24dd95304ae003cc420baf864a92862d0f3ed308168b96ce178ed6cd8810e34d
504,460,Distinguish,55555191562983,6,2006,-230,Expired,Expired,2013-11-11 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,f4fc8ca4721ee7004b778b3e3199927f06730757721d9128c056b05e86ce32cd
505,461,SuperiorCard,33337688484350,10,2006,-226,Expired,Expired,2013-11-25 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,1d1838d4200753412b7fe9cfa550359de20a586e3e9632e50038769c184822d2
506,462,SuperiorCard,33331674576298,6,2006,-230,Expired,Expired,2014-04-05 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,457163fd9734ce3d9d1af83049c71d7296d0689bdd7c2ba24fb39663f836e493
507,463,Vista,11119132324496,3,2008,-209,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,fca0a7dc562457abbfd78f555890a578d123fbdb591d4304d07ec7358bf1df5e
508,464,SuperiorCard,33333832543745,12,2007,-212,Expired,Expired,2013-12-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,3e4bf9ec6748410cda300238ac9177df710d6b5c52e4ef1fa4ff3b101df2aeb4
509,465,Distinguish,55552532063814,2,2005,-246,Expired,Expired,2013-08-12 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,51853d852e6c6e4c8e58b84280b97576766f78925204bd5e9ab10e9359c6551f
510,466,SuperiorCard,33338832686616,9,2005,-239,Expired,Expired,2012-09-05 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,378f8df27997b13f8e1162df7ab51061cb9636a1f7a95b600a5e70c1a99511b6
511,467,Vista,11117786482300,7,2006,-229,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,f4068e7d2a51cf1d3d111059ac9b1afa5ced1f86cbda81184abd9c93a9ca0fc0
512,468,ColonialVoice,77772148623166,10,2006,-226,Expired,Expired,2014-05-05 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,ecaf10009b98b5a0119457bc497edf52e673d2b40311d8fb1290c378c023b7ab
513,469,SuperiorCard,33338487053577,8,2006,-228,Expired,Expired,2008-12-08 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,328018ed7c1c6047e9811a27229adc85e521a71ab1e2edca1d400b39a9bd68c7
514,470,Vista,11119984033310,6,2008,-206,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,ae2c5a233b27ce45f3852754f019659af613b530c8c4e4806c2f619858052117
515,471,Distinguish,55557037877744,11,2005,-237,Expired,Expired,2013-10-31 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,439d07fd60a4a1ea89349b53fba9fa9f0a9cde15867d3fa7bd5bb04e3120f998
516,472,ColonialVoice,77775569039939,4,2007,-220,Expired,Expired,2013-07-14 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,c162595aa2d254a470d16ad4c07b6e7c60af2a0f9893444c2e3095f4b53af89f
517,473,Distinguish,55559166090565,3,2007,-221,Expired,Expired,2013-09-06 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,c90da6919b678e3c2b4faf591d7063289df5a2c58b8bc1513d213253a2744b7b
518,474,SuperiorCard,33336927304298,6,2006,-230,Expired,Expired,2014-04-27 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,53deb9db55f2aad757c491cfdc64299d4c2935887f20143f8c9798e93b81584f
519,475,SuperiorCard,33335900275155,2,2007,-222,Expired,Expired,2014-06-30 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,96bfa557f460103e7e341908d9fe5379c013549d0db12d035bebe3a919abdb16
520,476,Distinguish,55559090501662,3,2007,-221,Expired,Expired,2014-01-09 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,b053839fd8283f732cfd6c1ef126c2381150f257254c96b9f26265f507560bcc
521,477,Distinguish,55552304141831,4,2007,-220,Expired,Expired,2014-04-07 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,399cc34e06937c5c9c627bbfda158a0971c605d0bdea37fe9baa0a5fcbed2b84
522,478,Distinguish,55552693706014,7,2007,-217,Expired,Expired,2013-09-04 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,69af8a2310fd181a2f5279616f9701fb7adce7d36460c40d0e317d9ea4f9e9b9
523,479,SuperiorCard,33334025587335,1,2008,-211,Expired,Expired,2013-12-17 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,c4fb1c7d4f05d9de2cb6cc3430e0f2285912dea8d992a136675e42bf29ccf844
524,480,Distinguish,55554367752780,8,2007,-216,Expired,Expired,2012-04-23 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,3abff8db8d887407195508cfbf0ef94615898e76f360e1babd9531f730684f3b
525,481,SuperiorCard,33332717078038,9,2007,-215,Expired,Expired,2012-08-13 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,250d74c7da53f6093f918f6897812222892300df391cd6f8555a17060e10202b
526,482,Vista,11112604867030,9,2006,-227,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,ecca813bbe45fa76360867a1a56eb4c7ec798cf90b1dade4b7b0285371d5ea62
527,483,Distinguish,55551964548972,8,2007,-216,Expired,Expired,2013-11-01 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,a856dcaf7db7524dcaef07379b5ffb5cdf0e145f3723ce307d03ec088728f8a7
528,484,SuperiorCard,33333203219095,7,2006,-229,Expired,Expired,2013-08-15 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,b5a339513676ac80b8a4b2406414d5a435d5b4ad4b9f3169c4917ca5f67883f4
529,485,SuperiorCard,33334129214566,12,2007,-212,Expired,Expired,2013-10-02 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,d284856937258a27481588500739fedfbe7e4352a3da41a37d8c5e516f6a1711
530,486,Distinguish,55558314539187,6,2006,-230,Expired,Expired,2012-05-23 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,9af56504ec918d97d2a8329b62c33e7e91dbf4e5ad4f69d5ac9c1d28b5c7b3bf
531,487,Vista,11116231720012,8,2005,-240,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,293eb10953fee707234e17eca426de3414f0dbf95a6fa68ad858ae639a1a5b9a
532,488,Distinguish,55552299726560,8,2006,-228,Expired,Expired,2014-02-02 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,98db0700648ee1ee33db0ed53d43130072a9a510327ccc3cee666fbd5f1408b6
533,489,SuperiorCard,33335611789267,8,2005,-240,Expired,Expired,2013-12-05 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,0fca74e714937a291a7b9f159e54489d11bf8977985a9024ada3576e1ccb4c6c
534,490,Vista,11119066055449,11,2007,-213,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,be84e642cb295423a7c102fe263b6a66f2d68fae5d9cbff6f06a8620e82fe16d
535,491,Vista,11111597828182,8,2007,-216,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,a7a8677ad6a49bfc3a347c6bf9300f90df3154b32ada489ce892505ab43faf54
536,492,Vista,11115617194142,8,2007,-216,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,98eb87676c0ebad02517eb2a64e0530f5a6962e038c4ef25db1eb56014122564
537,493,ColonialVoice,77771742408351,1,2006,-235,Expired,Expired,2013-12-10 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,6412c5cb69b9bab7b7d616d2fe28f44514c6ef553e9dfc54379f882763e48811
538,494,Distinguish,55553764071525,10,2006,-226,Expired,Expired,2012-10-05 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,9c63c27416a7ea8250fcc380394766514ff28480dd168cf7d700b51ccefb3a1b
539,495,Distinguish,55554303119616,10,2008,-202,Expired,Expired,2013-07-04 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,006dc68061c197902da2db65fc46a42b94bc613c81744c73e952f0c1d8b68466
540,496,ColonialVoice,77772181007129,9,2007,-215,Expired,Expired,2013-12-24 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,ecb1d6e8a5ca216865374970447d5a850831458aec90de303e92a177f2d1d1c1
541,497,Distinguish,55554356601766,2,2007,-222,Expired,Expired,2014-01-25 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,4080cdcd5839f8002f058fd66a95bad72edd4454548a0a44bf1023ae3bd250c7
542,498,SuperiorCard,33336911951207,9,2007,-215,Expired,Expired,2014-03-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,f455895f879c9b0182c054aee9d6aa4efde163b2bf34cbf272f0ed740f49214d
543,499,Distinguish,55555834608749,8,2008,-204,Expired,Expired,2014-05-08 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,d97be2da01979f25c0ab39d638a1aa0818db7076c5a18c6c7c4ad82d753a38bc
544,500,ColonialVoice,77771316555965,8,2008,-204,Expired,Expired,2013-09-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,4a839fc0e2b1ddcef2c4f1508dad3f39e51d396ea14d36a9e69e0c5e978cc0aa
545,501,Distinguish,55556962137435,6,2005,-242,Expired,Expired,2013-12-24 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,4faa05e394f908e78359329fcf2746684dc4add1f596901369b3fafff4c69bbd
546,502,Vista,11114200367073,4,2006,-232,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,cbd4b7ae984798fc2f85afd279cafcfa27153028042d05b544ddebbd3affd145
547,503,Vista,11113877273056,11,2007,-213,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,1fcd9e81603f9ec76b0fab2a66ff7623c5e9e50333877bf0ab43be58de2738d7
548,504,Distinguish,55551093420332,2,2005,-246,Expired,Expired,2013-11-24 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,1ee5c3750f36ea3118a43a5e5c40bfcfc9977f47d92a9f9a1d49b653c620da04
549,505,Distinguish,55552587025031,8,2005,-240,Expired,Expired,2013-07-25 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,6bdda84a6a8d596f509bc5271fecea10f801f57837767fd08f823e05efb738b9
550,506,ColonialVoice,77777780556089,10,2008,-202,Expired,Expired,2014-01-25 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,60b388dea92dfed193b3d94e80a46bd0bba2885cb7d73a0acc828361dba546a3
551,507,ColonialVoice,77774872379859,6,2008,-206,Expired,Expired,2013-10-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,9a7bb502a093ae421435be2e787b70d9332c104192c26fbfd133c1f55666cb70
552,508,Vista,11113103399133,9,2008,-203,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,59f1f1c69af92e3b4fdb38c4b558c2bc85a371d90d3897c544d27ce0af415561
553,509,Distinguish,55556530992389,11,2007,-213,Expired,Expired,2013-11-10 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,00457d07fc3802a137e3ce6dd7bfe289b74dbe64e45322e392d48236ef9c96d6
554,510,SuperiorCard,33334902958924,7,2006,-229,Expired,Expired,2013-04-27 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,e8bd55e64628ebbd6fb36dc292eb79ee2a863e8348facdb27db2dd225d0ade7f
555,511,SuperiorCard,33335925651116,5,2008,-207,Expired,Expired,2013-07-11 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,0cdf300cc82b7feda8602d7dc9ac1034e2e3c03e4671dc20b2e2df0a3d15e4e2
556,512,Vista,11119317586997,2,2005,-246,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,f6a0ecfc76872394d083149eb45cf18027c0838ae0269a4bd6649e9038e2a53e
557,513,SuperiorCard,33335176511189,4,2006,-232,Expired,Expired,2013-03-03 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,a9f857a0b355d487cb5c7b813a53483ab76a6af376f785bfea78eb71f5b26889
558,514,ColonialVoice,77778365874918,2,2007,-222,Expired,Expired,2013-10-20 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,8f919194d68ad243d359fe7c817b2bd0779c3c70f80244d962f235d168c7cd86
559,515,Vista,11114815786346,12,2007,-212,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,52dd2ef32cf9b9f38a419b8d9353cf5c4548896bae9a5aef9eb8b3ca1637bd55
560,516,Vista,11114044178340,7,2007,-217,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,4b5329876d893858c8258c245a13de23f76b97f659fddefab7c8be9b6f27ff22
561,517,Distinguish,55556998351597,12,2005,-236,Expired,Expired,2008-12-01 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,37ae2b131cd7bba4287b6a42c1740081825765aef480063370097055a6cdc0e9
562,518,ColonialVoice,77775022996745,10,2005,-238,Expired,Expired,2013-12-19 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,87c85f0333892398f6038e0556a590e5f67c06e1b06582cc51d936622347b854
563,519,Vista,11116640674932,9,2006,-227,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,4e3c4cf6cc4ec9dbb95284edb66c841898aa8ea7c149db3f99507da477f304ad
564,520,Distinguish,55557900302904,8,2008,-204,Expired,Expired,2014-06-23 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,daa73e521d6ce373ad12ef346504c32c09136ac01c13bf87ed553b8051edf03d
565,521,SuperiorCard,33339115763066,1,2005,-247,Expired,Expired,2012-03-30 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,72614fba136a9fd0b0df02539af9504ca5688d13a13e765f51e1920b835367b3
566,522,Distinguish,55557537147049,5,2008,-207,Expired,Expired,2013-07-12 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,b44049607a20c3093d9d07cb2fb21bbf34caac66e56338d8ac0c20f72c0f27bf
567,523,SuperiorCard,33331650684222,9,2005,-239,Expired,Expired,2013-11-18 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,d58e433b880e218145b0d3c73ad27a3414f91c0321030db08f07afb955d18d0d
568,524,Distinguish,55558028460782,12,2006,-224,Expired,Expired,2013-11-05 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,115238fd2cc7d4d469e4fc600574c33dab2a84253a7cf7c428bec2ecd5598623
569,525,ColonialVoice,77774456680594,6,2006,-230,Expired,Expired,2014-01-17 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,699aad8db1d8104ea5b263be4302afe59270feb9a321edd66465123ec634a849
570,526,ColonialVoice,77771989506215,4,2008,-208,Expired,Expired,2014-06-20 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,6fef3332e146566e26ffeca31d21bfb6fed732cc268c1d5fac6f56d6eea97a10
571,527,Vista,11119668230198,12,2006,-224,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,6a624eaab55859a59615117bd1b009a911a02c4de46b90d68b4bb975b4aa9e1a
572,528,Distinguish,55553776365407,7,2006,-229,Expired,Expired,2012-07-12 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,caa182395682a82326327ec0296bd51a186ca526dcc10d8a8877b0281f9a954e
573,529,Distinguish,55551067478271,2,2006,-234,Expired,Expired,2011-08-22 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,b363746d8a2f338e3fc9c238db8d1b894e87b9e5a0cf830c7734c445c24b8c61
574,530,Distinguish,55551700218310,6,2006,-230,Expired,Expired,2014-03-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,424879c0dd60eb25f157b7c9bc60cad25c6a45de86cc1273d730bac2df8f6b70
575,531,SuperiorCard,33339882059399,4,2005,-244,Expired,Expired,2012-04-24 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,86e1106f076dd625b5a53273bde95a4fbc031021cafa9d39f1ba597ce3bc4cbe
576,532,ColonialVoice,77776166516691,3,2007,-221,Expired,Expired,2013-04-03 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,3c607f8ff26c3297b94738b2b95531a6b1c8b4a4c9dc79d57060ce2cc3bc8ff5
577,533,ColonialVoice,77775092471562,11,2007,-213,Expired,Expired,2013-07-05 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,3f97fc667547e97b052147a6a586281eb17fce8cde4ef60559efabfc5229a9cc
578,534,Vista,11117710453360,4,2008,-208,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,5357e9a91f03bfe24e356b06492bbf410d05ebed7534fd35f4ab4770a2a8ce7e
579,535,Vista,11119252804099,10,2005,-238,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,80e6d6d58e62e706af3ab06df04ea32fd427ae766c7f34c1d8faaa25b132b1c2
580,536,Vista,11116210070337,12,2007,-212,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,8b860b4fbcd9e49adaa1bc5b641fdcf39d5b2c07cdcba616df8f14657b82e1d8
581,537,Vista,11115000011433,2,2008,-210,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,0f81f9408acdf691962e7f9f42ec952e2e6531261639107ccfc637d0c76a4da2
582,538,ColonialVoice,77775004581200,7,2007,-217,Expired,Expired,2014-06-26 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,2100f2656289f98723ca722af83c1ad64ecac1d2767ae687bc0b63ad16bd0424
583,539,Distinguish,55557837025024,5,2006,-231,Expired,Expired,2014-02-13 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,31d64c2311976eee7d712e343e56201542097a4741ccdbaefaec1405edf4c82e
584,540,SuperiorCard,33333175081725,3,2008,-209,Expired,Expired,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,b88d22e0a6a649145a89a331f1a6a981d45e2132abb71ae0eee861baa1777416
585,541,ColonialVoice,77778037556819,3,2005,-245,Expired,Expired,2013-11-21 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,c0e509c8e9fa9375b72088c5e30296a98862b679d4d8eba580f316e80ee9a8cc
586,542,Vista,11113253933894,10,2006,-226,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,62ed3821b96b2d9431e432422df06a92e1a7473ef6dcbe0e0f4c6cbfa9204f69
587,543,Distinguish,55552614475671,9,2005,-239,Expired,Expired,2013-12-30 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,ba3f683e46586b58276bb54bd7a0bafde11776124de61e6ef0b0c67f134e395c
588,544,Distinguish,55558782882017,12,2008,-200,Expired,Expired,2012-10-27 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,08b7b5e9e70395098579d14c48c173205f24e51a6ad04e5181695ce6dca9f85c
589,545,Distinguish,55551884423713,7,2006,-229,Expired,Expired,2014-03-19 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,dce7aacb8cb535a92ffdc4e37d7b14a867dc34bcc99874c63e37d49fda8bee6b
590,546,Vista,11112558296630,11,2006,-225,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,f99dbf94c6110efd314fe6f92759b5c646508652147decced85a10da36fa18bb
591,547,SuperiorCard,33334943672902,6,2008,-206,Expired,Expired,2008-12-28 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,17023b04c4d594acab959e1716cf43844de2ce98f693e02bb1b4336bc12a3b17
592,548,SuperiorCard,33336937630277,10,2008,-202,Expired,Expired,2014-01-04 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,bce7eeadcfb3f87fb384c2c5843d8e01cd596224320dae3217304850babbd39d
593,549,Distinguish,55551351169119,10,2006,-226,Expired,Expired,2014-05-18 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,ef0e75a7d6e0af83fa7b8cdd2e23572128c391360e4b55a44e7c08e20171ed3c
594,550,ColonialVoice,77774575682719,4,2007,-220,Expired,Expired,2014-05-21 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,424601611998b87a5fe3cf03f879091eb47d9957592283195f07e6a403183442
595,551,ColonialVoice,77779138733164,1,2006,-235,Expired,Expired,2014-04-30 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,7f219ffb114fb2b10f6c09c1146cad986b8307187a1cce7e551ed66f4069ab46
596,552,SuperiorCard,33339286255828,1,2008,-211,Expired,Expired,2013-12-30 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,1029ff959022a87de950e5327d62b1f7207cb99f54447b06999310dd84323281
597,553,Vista,11113878285739,2,2005,-246,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,fd1fadb7365e54a63521f19f8a25bbde66aafb856bde543225aeba3d83cbb9e8
598,554,Distinguish,55559089006093,3,2006,-233,Expired,Expired,2014-01-19 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,476bc789001af6ef2c181dd07ad19a34309a5fc0f2d1213dbabeb75e4dd1bdd0
599,555,SuperiorCard,33336531741857,6,2006,-230,Expired,Expired,2012-06-04 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,2e914268aff2fe428a3e3f5df2cafb8046e9b7221e8c1d37b4c6d07096f0adcc
600,556,Distinguish,55554615238225,11,2007,-213,Expired,Expired,2013-09-19 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,9d71dc4ef5233a2a495a297a9a3c6cb36cc284f3d19b9fb17583162eb474eb26
601,557,SuperiorCard,33333259588154,9,2008,-203,Expired,Expired,2012-02-15 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,1316495655427601407de3200bcf9188f6ae2f20686d822b9a23a90cc694129a
602,558,ColonialVoice,77775542106919,4,2008,-208,Expired,Expired,2012-05-25 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,463b5e6ec49732d010175b0ad1bf3e5d253259ac76ebde4821dcbcf48efb1fbd
603,559,ColonialVoice,77777885825071,2,2005,-246,Expired,Expired,2014-01-19 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,a43a4a92102b6f054c182e17bd2a9ba7bde69318f596a220c036ebfc9c25b06a
604,560,ColonialVoice,77772931794976,2,2008,-210,Expired,Expired,2011-07-27 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,73db3bab47840ce76aa1da28e8272ea75eadd48e6c17be9f26609cee0790df60
